id,year,rvote,age,female,black,white,otherrace,educ,family_income,south,college
61,2000,0,35,1,0,1,0,2,3,0,0
62,2000,0,45,1,0,1,0,2,2,0,0
63,2000,0,51,1,0,1,0,3,3,0,0
64,2000,0,42,1,1,0,0,3,5,0,0
65,2000,1,51,1,0,1,0,2,4,1,0
66,2000,1,35,1,0,1,0,4,4,0,1
67,2000,0,42,0,0,1,0,3,5,0,0
68,2000,1,36,0,0,1,0,4,4,0,1
69,2000,0,48,0,0,1,0,4,4,0,1
70,2000,1,40,1,0,1,0,4,3,1,1
71,2000,0,33,0,1,0,0,3,3,1,0
72,2000,0,29,1,0,1,0,4,2,0,1
73,2000,0,61,1,0,1,0,4,2,0,1
74,2000,0,65,1,0,1,0,4,1,0,1
75,2000,1,55,1,0,1,0,4,1,0,1
76,2000,0,62,1,0,1,0,3,2,1,0
77,2000,0,45,0,0,1,0,3,4,1,0
78,2000,0,51,1,0,1,0,3,5,1,0
79,2000,0,60,1,0,1,0,2,3,1,0
80,2000,1,65,0,0,1,0,3,3,0,0
81,2000,0,37,1,0,1,0,3,3,1,0
82,2000,0,61,0,1,0,0,2,3,1,0
83,2000,0,57,0,0,1,0,3,1,1,0
84,2000,0,57,1,1,0,0,2,1,1,0
85,2000,0,56,1,0,1,0,3,4,0,0
86,2000,1,35,1,0,1,0,3,4,1,0
87,2000,0,55,0,0,1,0,4,3,0,1
88,2000,0,33,1,0,1,0,4,3,0,1
89,2000,0,22,1,0,1,0,2,2,0,0
90,2000,0,44,1,0,0,1,4,3,0,1
91,2000,0,29,1,0,1,0,3,1,0,0
92,2000,0,45,1,1,0,0,3,2,0,0
93,2000,0,50,1,0,1,0,4,5,0,1
94,2000,0,37,0,0,0,1,2,3,0,0
95,2000,0,51,1,0,1,0,4,4,0,1
96,2000,0,35,0,0,1,0,2,2,0,0
97,2000,1,36,1,0,1,0,2,3,0,0
98,2000,0,27,0,0,1,0,3,3,0,0
99,2000,1,32,0,0,1,0,2,3,0,0
100,2000,0,56,1,0,1,0,2,3,0,0
101,2000,1,39,0,0,0,1,2,2,1,0
102,2000,1,46,1,0,0,1,3,4,1,0
103,2000,1,63,0,0,1,0,4,3,0,1
104,2000,0,46,1,0,1,0,2,4,0,0
105,2000,1,40,0,0,1,0,2,3,0,0
106,2000,0,59,1,0,1,0,2,5,0,0
107,2000,0,41,1,0,1,0,4,4,0,1
108,2000,1,54,0,0,1,0,3,4,1,0
109,2000,1,30,0,0,1,0,3,2,1,0
110,2000,0,62,1,0,0,1,1,3,0,0
111,2000,0,53,0,0,1,0,4,3,0,1
112,2000,1,56,1,0,1,0,3,3,0,0
